14.210,12.450,0.424,0.409,0.371,0.467,0.418,0.255,1.730
13.810,11.740,0.422,0.393,0.377,0.476,0.411,0.258,1.900
14.340,12.350,0.437,0.400,0.392,0.508,0.413,0.260,1.890
14.130,11.900,0.430,0.379,0.381,0.507,0.410,0.257,2.110
13.630,11.360,0.388,0.346,0.374,0.471,0.387,0.258,2.270
12.400,10.560,0.344,0.313,0.345,0.450,0.353,0.246,2.120
11.620,10.560,0.319,0.296,0.332,0.438,0.326,0.232,2.080
11.280,9.850,0.298,0.287,0.309,0.394,0.304,0.207,1.340
11.160,9.440,0.296,0.290,0.308,0.385,0.301,0.211,1.600
11.500,9.890,0.320,0.307,0.322,0.391,0.309,0.213,1.930
11.000,9.780,0.296,0.277,0.309,0.390,0.294,0.209,1.950
11.830,10.410,0.328,0.304,0.321,0.398,0.315,0.206,1.840
12.670,10.940,0.358,0.337,0.350,0.410,0.352,0.216,2.000
12.620,11.360,0.351,0.330,0.342,0.439,0.336,0.215,1.810
12.260,11.040,0.323,0.314,0.322,0.416,0.322,0.216,1.810
12.460,11.110,0.335,0.314,0.324,0.403,0.325,0.221,1.760
12.160,10.520,0.333,0.326,0.312,0.398,0.321,0.224,1.790
11.810,9.880,0.308,0.291,0.295,0.382,0.300,0.224,1.810
11.660,10.070,0.300,0.278,0.290,0.379,0.295,0.223,1.790
12.360,10.580,0.324,0.307,0.318,0.401,0.316,0.226,1.700
12.900,10.790,0.360,0.326,0.334,0.483,0.327,0.223,1.690
14.190,11.670,0.400,0.403,0.374,0.608,0.364,0.234,1.870
14.910,12.750,0.429,0.435,0.395,0.589,0.382,0.248,1.750
15.550,13.570,0.451,0.461,0.417,0.663,0.403,0.252,1.790
16.610,14.620,0.512,0.500,0.439,0.705,0.435,0.258,1.920
16.450,14.130,0.505,0.492,0.425,0.666,0.429,0.264,2.040
16.770,14.700,0.490,0.490,0.424,0.565,0.426,0.280,2.120
17.930,16.070,0.493,0.500,0.434,0.547,0.431,0.299,2.180
