observation_date,CPIAUCSL
9/1/1996,3.810736769
10/1/1996,3.798673637
11/1/1996,3.786686639
12/1/1996,3.020769374
1/1/1997,2.260597215
2/1/1997,2.256346638
3/1/1997,0.751173733
4/1/1997,0.750703809
5/1/1997,0
6/1/1997,2.249297753
7/1/1997,1.497192958
8/1/1997,2.988793575
9/1/1997,2.981367993
10/1/1997,2.231175108
11/1/1997,1.485148704
12/1/1997,0.74188565
1/1/1998,1.48239673
2/1/1998,0
3/1/1998,0
4/1/1998,1.480567739
5/1/1998,2.955666519
6/1/1998,1.475107746
7/1/1998,2.944786754
8/1/1998,1.469687875
9/1/1998,0.734169494
10/1/1998,2.932194495
11/1/1998,1.463414816
12/1/1998,2.191781431
1/1/1999,2.187785474
2/1/1999,0
3/1/1999,0.72837635
4/1/1999,7.983095665
5/1/1999,0.723109392
6/1/1999,0
7/1/1999,5.04960168
8/1/1999,2.875975014
9/1/1999,5.016430118
10/1/1999,2.143495658
11/1/1999,2.139673672
12/1/1999,2.846976424
1/1/2000,3.549248373
2/1/2000,4.951377493
3/1/2000,7.038143343
4/1/2000,-0.701959657
5/1/2000,2.104648303
6/1/2000,6.988953943
7/1/2000,3.479271791
8/1/2000,0
9/1/2000,6.237380488
10/1/2000,2.071942961
11/1/2000,2.06837167
12/1/2000,2.752294785
1/1/2001,6.853245355
2/1/2001,2.730376605
3/1/2001,0.681624557
4/1/2001,2.042553685
5/1/2001,6.106883409
6/1/2001,2.704226497
7/1/2001,-2.027598342
8/1/2001,0
9/1/2001,4.725744504
10/1/2001,-3.373631685
11/1/2001,-0.675865971
12/1/2001,-0.676246848
1/1/2002,2.027598342
2/1/2002,2.024178158
3/1/2002,3.366061113
4/1/2002,5.36613527
5/1/2002,1.337792781
6/1/2002,0.668337528
7/1/2002,2.669634027
8/1/2002,3.328712259
9/1/2002,1.992804222
10/1/2002,2.651934781
11/1/2002,1.985112115
12/1/2002,1.981833646
1/1/2003,5.268943701
2/1/2003,6.553812031
3/1/2003,1.959184109
4/1/2003,-4.576415244
5/1/2003,-1.966676212
6/1/2003,1.31147554
7/1/2003,3.925848649
8/1/2003,5.214565511
9/1/2003,3.896107319
10/1/2003,-1.297297424
11/1/2003,0.648824022
12/1/2003,3.238868363
1/1/2004,5.164074672
2/1/2004,2.573727528
3/1/2004,2.568219279
4/1/2004,1.922563829
5/1/2004,5.111828816
